background,x,s,tail_count,short_common_mu_extrapolated_count,full_range_fit_count
REL607,0.14075562421989132,-0.14075562421989132,294,279.3120750061884,226.78244089529656
REL607,0.14386568227163257,-0.14386568227163257,290,276.1156297946073,223.4400961227813
REL607,0.14704445843775696,-0.14704445843775696,287,272.95576467713926,220.14701119831327
REL607,0.15029347107553154,-0.15029347107553154,284,269.83206103147234,216.9024601247879
REL607,0.15361427209100212,-0.15361427209100212,282,266.74410502600426,213.70572760492504
REL607,0.15700844768026767,-0.15700844768026767,281,263.6914875650192,210.55610888357677
REL607,0.16047761908713512,-0.16047761908713512,277,260.67380423448947,207.45290959235308
REL607,0.16402344337751312,-0.16402344337751312,275,257.69065524849776,204.3954455965438
REL607,0.16764761423091815,-0.16764761423091815,274,254.7416453962744,201.3830428442911
REL607,0.171351862749468,-0.171351862749468,272,251.826383989838,198.41503721798853
REL607,0.1751379582847506,-0.1751379582847506,268,248.94448481223796,195.49077438786853
REL607,0.17900770928296364,-0.17900770928296364,265,246.0955660663872,192.60960966774826
REL607,0.18296296414872668,-0.18296296414872668,262,243.27925032448184,189.77090787290135
REL607,0.1870056121279809,-0.1870056121279809,257,240.49516447799812,186.97404318002427
REL607,0.19113758421039548,-0.19113758421039548,252,237.74293968826422,184.21839898926737
REL607,0.19536085405171466,-0.19536085405171466,245,235.02221133759434,181.50336778829688
REL607,0.19967743891648287,-0.19967743891648287,243,232.3326189809853,178.82835101836446
REL607,0.20408940064160117,-0.20408940064160117,241,229.6738062983637,176.19275894234576
REL607,0.20859884662117262,-0.20859884662117262,240,227.0454210473797,173.59601051472882
REL607,0.21320793081310957,-0.21320793081310957,237,224.4471150167429,171.03753325351371
REL607,0.21791885476798137,-0.21791885476798137,234,221.8785439800895,168.51676311400476
REL607,0.222733868680595,-0.222733868680595,226,219.33936765038004,166.033144364459
REL607,0.22765527246481185,-0.22765527246481185,222,216.82924963481736,163.58612946356962
REL607,0.23268541685211144,-0.23268541685211144,218,214.3478573902802,161.17517893975446
REL607,0.23782670451443017,-0.23782670451443017,212,211.89486217926884,158.7997612722233
REL607,0.2430815912118078,-0.2430815912118078,208,209.46993902635288,156.4593527737983
REL607,0.24845258696539377,-0.24845258696539377,204,207.07276667511766,154.15343747546137
REL607,0.2539422572563694,-0.2539422572563694,199,204.70302754560504,151.88150701260304
REL607,0.25955322425136307,-0.25955322425136307,195,202.3604076922394,149.64306051294767
REL607,0.26528816805493916,-0.26528816805493916,190,200.0445967622353,147.43760448613142
REL607,0.27114982798976367,-0.27114982798976367,186,197.7552879544829,145.26465271490528
REL607,0.2771410039050538,-0.2771410039050538,179,195.4921779789011,143.12372614794458
REL607,0.28326455751393875,-0.28326455751393875,178,193.2549670162588,141.01435279423595
REL607,0.2895234137603712,-0.2895234137603712,167,191.04335867845353,138.93606761902228
REL607,0.2959205622162395,-0.2959205622162395,165,188.85705996924614,136.88841244128
REL607,0.3024590585093516,-0.3024590585093516,162,186.69578124544373,134.8709358327083
REL607,0.30914202578296873,-0.30914202578296873,156,184.55923617852844,132.8831930182069
