background,x,s,tail_count,individual_fit_count,common_fit_count
Ara-3,0.012343893059259944,-0.012343893059259944,831,830.9901693920219,899.5355180524081
Ara-3,0.012562415777682757,-0.012562415777682757,823,825.7222115400434,891.2605266253065
Ara-3,0.0127848069821851,-0.0127848069821851,815,820.4876492454997,883.0616583548152
Ara-3,0.013011135156193569,-0.013011135156193569,811,815.2862708014485,874.938212970123
Ara-3,0.013241469995490094,-0.013241469995490094,805,810.1178658430348,866.8894966423377
Ara-3,0.01347588242967414,-0.01347588242967414,801,804.9822253389863,858.9148219252208
Ara-3,0.013714444644004856,-0.013714444644004856,794,799.8791415831578,851.0135076964825
Ara-3,0.013957230101629914,-0.013957230101629914,793,794.8084081861314,843.1848790996007
Ara-3,0.014204313566207808,-0.014204313566207808,788,789.7698200668688,835.4282674861773
Ara-3,0.01445577112493069,-0.01445577112493069,784,784.7631734444174,827.7430103588373
Ara-3,0.014711680211954759,-0.014711680211954759,781,779.7882658296683,820.1284513146394
Ara-3,0.014972119632245416,-0.014972119632245416,777,774.844896017166,812.5839399890103
Ara-3,0.015237169585844574,-0.015237169585844574,773,769.9328640769742,805.1088320002024
Ara-3,0.01550691169256758,-0.01550691169256758,766,765.0519713465848,797.70248889425
Ara-3,0.015781429017137274,-0.015781429017137274,762,760.2020204228868,790.3642780904462
Ara-3,0.016060806094763087,-0.016060806094763087,757,755.3828151541811,783.093572827304
Ara-3,0.016345128957172897,-0.016345128957172897,753,750.5941606322474,775.8897521090341
Ara-3,0.016634485159105764,-0.016634485159105764,744,745.8358631844632,768.7522006525004
Ara-3,0.016928963805273624,-0.016928963805273624,742,741.1077303659674,761.6803088346669
Ara-3,0.017228655577800345,-0.017228655577800345,739,736.4095709518799,754.6734726405319
Ara-3,0.01753365276414644,-0.01753365276414644,736,731.7411949295663,747.7310936115377
Ara-3,0.017844049285528227,-0.017844049285528227,729,727.1024134909536,740.8525787944576
Ara-3,0.01815994072584002,-0.01815994072584002,721,722.493039024894,734.0373406907476
Ara-3,0.018481424361088364,-0.018481424361088364,716,717.9128851095768,727.2847972063722
Ara-3,0.018808599189347356,-0.018808599189347356,712,713.3617665049885,720.5943716020839
Ara-3,0.01914156596124418,-0.01914156596124418,708,708.8394991454232,713.9654924441644
Ara-3,0.019480427210984426,-0.019480427210984426,704,704.3459001320347,707.3975935556197
Ara-3,0.019825287287926586,-0.019825287287926586,702,699.8807877254413,700.890113967822
Ara-3,0.020176252388715517,-0.020176252388715517,699,695.4439813383759,694.4424978725928
Ara-3,0.02053343058998481,-0.02053343058998481,694,691.0353015283813,688.0541945747385
Ara-3,0.020896931881637992,-0.020896931881637992,690,686.6545699905525,681.7246584450083
Ara-3,0.02126686820071898,-0.02126686820071898,687,682.3016095503284,675.4533488734968
Ara-3,0.021643353465882118,-0.021643353465882118,681,677.9762441563215,669.2397302234651
Ara-3,0.022026503612472412,-0.022026503612472412,678,673.6782988732008,663.0832717855981
Ara-3,0.02241643662822685,-0.02241643662822685,675,669.4075998746157,656.9834477326676
