experiment,background,x,s,tail_count,fitted_tail_count,requested_x_max
MNO,L,0.023349145974793067,-0.023349145974793067,81,80.11543811822544,0.15
MNO,L,0.023996655126983717,-0.023996655126983717,79,76.00834309330591,0.15
MNO,L,0.0246621207433047,-0.0246621207433047,77,72.11179712035346,0.15
MNO,L,0.02534604078521801,-0.02534604078521801,72,68.41500646242876,0.15
MNO,L,0.026048927023453176,-0.026048927023453176,69,64.90773072042973,0.15
MNO,L,0.026771305420960356,-0.026771305420960356,66,61.580254466386144,0.15
MNO,L,0.027513716526483295,-0.027513716526483295,64,58.42336033096436,0.15
MNO,L,0.02827671587904675,-0.02827671587904675,62,55.42830347063384,0.15
MNO,L,0.029060874423660916,-0.029060874423660916,61,52.58678734376656,0.15
MNO,L,0.02986677893855401,-0.02986677893855401,59,49.89094072856904,0.15
MNO,L,0.030695032474252742,-0.030695032474252742,56,47.333295919181886,0.15
MNO,L,0.03154625480483923,-0.03154625480483923,53,44.90676803955102,0.15
MNO,L,0.03242108289172187,-0.03242108289172187,51,42.60463541776738,0.15
MNO,L,0.033320171360267346,-0.033320171360267346,48,40.42052096651013,0.15
MNO,L,0.0342441929896505,-0.0342441929896505,44,38.34837451801636,0.15
MNO,L,0.035193839216288464,-0.035193839216288464,44,36.38245606464322,0.15
MNO,L,0.03616982065123578,-0.03616982065123578,41,34.51731985859833,0.15
MNO,L,0.037172867611927736,-0.037172867611927736,39,32.7477993267927,0.15
MNO,L,0.038203730668669916,-0.038203730668669916,39,31.06899275902913,0.15
